measurement_id,part,measurement_name,axis_or_direction,nominal_value,measured_value,unit,measurement_tool,required_accuracy,measurement_method,photo_required,status,design_dependency,notes
M014,KP000,insert_projection_left,-Y,,,mm,CALIPER,0.1 mm,Measure housing face to insert extreme.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,"Existing 45x15x35 geometry is an unverified envelope, not a measured part."
M015,KP000,insert_projection_right,+Y,,,mm,CALIPER,0.1 mm,Measure housing face to insert extreme.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,"Existing 45x15x35 geometry is an unverified envelope, not a measured part."
M016,KP000,tool_access_direction,VECTOR,,,mm,CALIPER,0.1 mm,Photograph installed orientation and access path.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,"Existing 45x15x35 geometry is an unverified envelope, not a measured part."
M017,PTO_SHAFT,actual_diameter,RADIAL,"10 candidate, not measured",,mm,MICROMETER/CALIPER/DIAL_INDICATOR,0.01 mm,Micrometer at three axial stations and two angles.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,The 10 mm shaft in parent CAD is a candidate only.
M018,PTO_SHAFT,diameter_tolerance,RADIAL,,,mm,MICROMETER/CALIPER/DIAL_INDICATOR,0.01 mm,Record min/max from repeated micrometer readings.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,The 10 mm shaft in parent CAD is a candidate only.
M019,PTO_SHAFT,effective_length,Y,,,mm,MICROMETER/CALIPER/DIAL_INDICATOR,0.1 mm,Measure usable shoulder-to-shoulder length.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,The 10 mm shaft in parent CAD is a candidate only.
M020,PTO_SHAFT,keyway_or_d_flat,RADIAL/AXIAL,,,mm,MICROMETER/CALIPER/DIAL_INDICATOR,0.05 mm,"Measure width, depth, and axial start/end.",YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,The 10 mm shaft in parent CAD is a candidate only.
M021,PTO_SHAFT,shaft_collar_width,Y,,,mm,MICROMETER/CALIPER/DIAL_INDICATOR,0.05 mm,Measure both collars separately face-to-face.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,The 10 mm shaft in parent CAD is a candidate only.
M022,PTO_SHAFT,retaining_ring_position,Y,,,mm,MICROMETER/CALIPER/DIAL_INDICATOR,0.1 mm,Measure reference shoulder to groove center.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,The 10 mm shaft in parent CAD is a candidate only.
M023,PTO_SHAFT,axial_play,Y,,,mm,MICROMETER/CALIPER/DIAL_INDICATOR,0.05 mm,Push-pull shaft and measure indicator travel.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,The 10 mm shaft in parent CAD is a candidate only.
M024,PTO_SHAFT,coupling_fixing_method,TEXT,,,mm,MICROMETER/CALIPER/DIAL_INDICATOR,N/A,"Record key, clamp, or set screws and photograph.",YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,The 10 mm shaft in parent CAD is a candidate only.
M025,PTO_60T_PULLEY,reported_max_dimension,MEANING_PENDING,102.0,,mm,CALIPER/DIAL_INDICATOR,0.1 mm,"Reidentify whether 102 mm is OD, flange OD, or axial length.",YES,USER_REPORTED_DIMENSION_MEANING_CALIBRATION_PENDING,ROTATION_AND_AXIAL_ENVELOPE,120 mm diameter remains the design safety rotation envelope.
M026,PTO_60T_PULLEY,overall_axial_width,Y,,,mm,CALIPER/DIAL_INDICATOR,0.1 mm,Measure extreme flange face to opposite extreme face.,YES,PART_MEASUREMENT_REQUIRED,ROTATION_AND_AXIAL_ENVELOPE,
M027,PTO_60T_PULLEY,tooth_face_width,Y,,,mm,CALIPER/DIAL_INDICATOR,0.1 mm,Measure usable toothed face between flanges.,YES,PART_MEASUREMENT_REQUIRED,ROTATION_AND_AXIAL_ENVELOPE,
M028,PTO_60T_PULLEY,flange_outer_diameter,RADIAL,,,mm,CALIPER/DIAL_INDICATOR,0.1 mm,Measure both flange diameters at two angles.,YES,PART_MEASUREMENT_REQUIRED,ROTATION_AND_AXIAL_ENVELOPE,
M029,PTO_60T_PULLEY,left_flange_thickness,Y,,,mm,CALIPER/DIAL_INDICATOR,0.1 mm,Measure left flange thickness.,YES,PART_MEASUREMENT_REQUIRED,ROTATION_AND_AXIAL_ENVELOPE,
M030,PTO_60T_PULLEY,right_flange_thickness,Y,,,mm,CALIPER/DIAL_INDICATOR,0.1 mm,Measure right flange thickness.,YES,PART_MEASUREMENT_REQUIRED,ROTATION_AND_AXIAL_ENVELOPE,
M031,PTO_60T_PULLEY,hub_width,Y,,,mm,CALIPER/DIAL_INDICATOR,0.1 mm,Measure hub axial projection.,YES,PART_MEASUREMENT_REQUIRED,ROTATION_AND_AXIAL_ENVELOPE,
M032,PTO_60T_PULLEY,hub_outer_diameter,RADIAL,,,mm,CALIPER/DIAL_INDICATOR,0.1 mm,Measure hub OD at two angles.,YES,PART_MEASUREMENT_REQUIRED,ROTATION_AND_AXIAL_ENVELOPE,
M033,PTO_60T_PULLEY,bore_diameter,RADIAL,,,mm,CALIPER/DIAL_INDICATOR,0.1 mm,Measure bore with bore gauge or pin gauges.,YES,PART_MEASUREMENT_REQUIRED,ROTATION_AND_AXIAL_ENVELOPE,
M034,PTO_60T_PULLEY,fixing_method,TEXT,,,mm,CALIPER/DIAL_INDICATOR,0.1 mm,"Record key, clamp, set screw, or taper bush.",YES,PART_MEASUREMENT_REQUIRED,ROTATION_AND_AXIAL_ENVELOPE,
M035,PTO_60T_PULLEY,radial_runout,RADIAL,,,mm,CALIPER/DIAL_INDICATOR,METHOD_AND_LIMIT_HOLD,Mount on intended shaft; rotate slowly against dial indicator.,YES,PART_MEASUREMENT_REQUIRED,ROTATION_AND_AXIAL_ENVELOPE,
M036,PTO_60T_PULLEY,axial_runout,Y,,,mm,CALIPER/DIAL_INDICATOR,METHOD_AND_LIMIT_HOLD,Indicate flange face while rotating on intended shaft.,YES,PART_MEASUREMENT_REQUIRED,ROTATION_AND_AXIAL_ENVELOPE,
M037,FASTENER,bolt_head_diameter,RADIAL,,,mm,CALIPER,0.5 mm,Measure extreme faces of the exact production-intent item; identify thread.,YES,PART_MEASUREMENT_REQUIRED,FASTENER_AND_TOOL_ENVELOPE,
M038,FASTENER,bolt_head_height,AXIAL,,,mm,CALIPER,0.5 mm,Measure extreme faces of the exact production-intent item; identify thread.,YES,PART_MEASUREMENT_REQUIRED,FASTENER_AND_TOOL_ENVELOPE,
M039,FASTENER,nut_across_flats,RADIAL,,,mm,CALIPER,0.5 mm,Measure extreme faces of the exact production-intent item; identify thread.,YES,PART_MEASUREMENT_REQUIRED,FASTENER_AND_TOOL_ENVELOPE,
M040,FASTENER,nut_height,AXIAL,,,mm,CALIPER,0.5 mm,Measure extreme faces of the exact production-intent item; identify thread.,YES,PART_MEASUREMENT_REQUIRED,FASTENER_AND_TOOL_ENVELOPE,
M041,FASTENER,washer_outer_diameter,RADIAL,,,mm,CALIPER,0.5 mm,Measure extreme faces of the exact production-intent item; identify thread.,YES,PART_MEASUREMENT_REQUIRED,FASTENER_AND_TOOL_ENVELOPE,
M042,FASTENER,washer_thickness,AXIAL,,,mm,CALIPER,0.5 mm,Measure extreme faces of the exact production-intent item; identify thread.,YES,PART_MEASUREMENT_REQUIRED,FASTENER_AND_TOOL_ENVELOPE,
M043,FASTENER,t_nut_width_length_height,X/Y/Z,,,mm,CALIPER,0.5 mm,Measure extreme faces of the exact production-intent item; identify thread.,YES,PART_MEASUREMENT_REQUIRED,FASTENER_AND_TOOL_ENVELOPE,
M044,FASTENER,spacer_dimensions,X/Y/Z,,,mm,CALIPER,0.5 mm,Measure extreme faces of the exact production-intent item; identify thread.,YES,PART_MEASUREMENT_REQUIRED,FASTENER_AND_TOOL_ENVELOPE,
M045,TOOL,hex_key_envelope,INSERTION_AND_SWEEP,,,mm,CALIPER,0.5 mm,Measure the actual selected tool at its maximum swept section; photograph insertion path.,YES,PART_MEASUREMENT_REQUIRED,SERVICE_ACCESS,
M046,TOOL,l_hex_bend_envelope,SWEEP,,,mm,CALIPER,0.5 mm,Measure the actual selected tool at its maximum swept section; photograph insertion path.,YES,PART_MEASUREMENT_REQUIRED,SERVICE_ACCESS,
M047,TOOL,socket_outer_diameter,RADIAL,,,mm,CALIPER,0.5 mm,Measure the actual selected tool at its maximum swept section; photograph insertion path.,YES,PART_MEASUREMENT_REQUIRED,SERVICE_ACCESS,
M048,TOOL,spanner_envelope,SWEEP,,,mm,CALIPER,0.5 mm,Measure the actual selected tool at its maximum swept section; photograph insertion path.,YES,PART_MEASUREMENT_REQUIRED,SERVICE_ACCESS,
M049,TOOL,ratchet_head_envelope,SWEEP,,,mm,CALIPER,0.5 mm,Measure the actual selected tool at its maximum swept section; photograph insertion path.,YES,PART_MEASUREMENT_REQUIRED,SERVICE_ACCESS,
M050,TOOL,finger_clearance,ACCESS_VOLUME,,,mm,CALIPER,0.5 mm,Measure the actual selected tool at its maximum swept section; photograph insertion path.,YES,PART_MEASUREMENT_REQUIRED,SERVICE_ACCESS,
M051,TOOL,tightening_direction,VECTOR,,,mm,CALIPER,0.5 mm,Measure the actual selected tool at its maximum swept section; photograph insertion path.,YES,PART_MEASUREMENT_REQUIRED,SERVICE_ACCESS,
M052,TOOL,bolt_removal_direction,VECTOR,,,mm,CALIPER,0.5 mm,Measure the actual selected tool at its maximum swept section; photograph insertion path.,YES,PART_MEASUREMENT_REQUIRED,SERVICE_ACCESS,
M053,ALUMINUM_FRAME,2020_t_slot_actual,CROSS_SECTION,,,mm,CALIPER,0.5 mm,Measure the actual profile/fixture from a named end face and slot centerline.,YES,PART_MEASUREMENT_REQUIRED,PLATE_TO_FRAME_INTERFACE,
M054,ALUMINUM_FRAME,2040_t_slot_actual,CROSS_SECTION,,,mm,CALIPER,0.5 mm,Measure the actual profile/fixture from a named end face and slot centerline.,YES,PART_MEASUREMENT_REQUIRED,PLATE_TO_FRAME_INTERFACE,
M055,ALUMINUM_FRAME,t_nut_actual,X/Y/Z,,,mm,CALIPER,0.5 mm,Measure the actual profile/fixture from a named end face and slot centerline.,YES,PART_MEASUREMENT_REQUIRED,PLATE_TO_FRAME_INTERFACE,
M056,ALUMINUM_FRAME,bracket_actual,X/Y/Z,,,mm,CALIPER,0.5 mm,Measure the actual profile/fixture from a named end face and slot centerline.,YES,PART_MEASUREMENT_REQUIRED,PLATE_TO_FRAME_INTERFACE,
M057,ALUMINUM_FRAME,plate_mounting_face,X/Z,,,mm,CALIPER,0.5 mm,Measure the actual profile/fixture from a named end face and slot centerline.,YES,PART_MEASUREMENT_REQUIRED,PLATE_TO_FRAME_INTERFACE,
M058,ALUMINUM_FRAME,drillable_position,X/Z,,,mm,CALIPER,0.5 mm,Measure the actual profile/fixture from a named end face and slot centerline.,YES,PART_MEASUREMENT_REQUIRED,PLATE_TO_FRAME_INTERFACE,
M059,ALUMINUM_FRAME,hole_to_frame_end_distance,X/Z,,,mm,CALIPER,0.5 mm,Measure the actual profile/fixture from a named end face and slot centerline.,YES,PART_MEASUREMENT_REQUIRED,PLATE_TO_FRAME_INTERFACE,
M060,SUPPORT_PLATE,actual_stock_thickness,Y,5.0,,mm,MICROMETER,0.05 mm,Measure plate stock at four corners and center before machining.,YES,PART_MEASUREMENT_REQUIRED,STRENGTH_AND_ENVELOPE,"5 mm is fixed as the v0.8.1 candidate, not a released stock tolerance."
