candidate_id,center_pto_end_gap_mm,left_output_end_y_mm,right_output_end_y_mm,left_right_shaft_intersection_count,left_right_coupling_intersection_count,coupling_sweep_to_unit_structure_clearance_mm,unit_install_direction,coupling_actuation,coupling_candidate,service_score_5,mud_score_5,cost_score_5,automation_score_5,alignment_score_5,mechanical_only,selection,status,hold_reason
BAY-GAP50-C3,50.0,25.0,-25.0,0,0,5.0,FRONT,MANUAL_TOOL,C3,4,2,5,2,2,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP50-C4,50.0,25.0,-25.0,0,0,5.0,FRONT,UNIT_DEPENDENT,C4,5,4,4,4,2,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP50-C5,50.0,25.0,-25.0,0,0,5.0,FRONT,UNIT_INTERNAL,C5,3,4,3,4,3,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP60-C1,60.0,30.0,-30.0,0,0,10.0,FRONT,OUTWARD_FROM_UNIT,C1,5,4,4,3,4,True,RECOMMENDED,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP60-C2,60.0,30.0,-30.0,0,0,10.0,FRONT,INWARD_FROM_ROVER,C2,4,3,3,3,4,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP60-C3,60.0,30.0,-30.0,0,0,10.0,FRONT,MANUAL_TOOL,C3,4,2,5,2,2,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP60-C4,60.0,30.0,-30.0,0,0,10.0,FRONT,UNIT_DEPENDENT,C4,5,4,4,4,2,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP60-C5,60.0,30.0,-30.0,0,0,10.0,FRONT,UNIT_INTERNAL,C5,3,4,3,4,3,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP70-C1,70.0,35.0,-35.0,0,0,15.0,FRONT,OUTWARD_FROM_UNIT,C1,5,4,4,3,4,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP70-C2,70.0,35.0,-35.0,0,0,15.0,FRONT,INWARD_FROM_ROVER,C2,4,3,3,3,4,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP70-C3,70.0,35.0,-35.0,0,0,15.0,FRONT,MANUAL_TOOL,C3,4,2,5,2,2,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP70-C4,70.0,35.0,-35.0,0,0,15.0,FRONT,UNIT_DEPENDENT,C4,5,4,4,4,2,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP70-C5,70.0,35.0,-35.0,0,0,15.0,FRONT,UNIT_INTERNAL,C5,3,4,3,4,3,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP80-C1,80.0,40.0,-40.0,0,0,20.0,FRONT,OUTWARD_FROM_UNIT,C1,5,4,4,3,4,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP80-C2,80.0,40.0,-40.0,0,0,20.0,FRONT,INWARD_FROM_ROVER,C2,4,3,3,3,4,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP80-C3,80.0,40.0,-40.0,0,0,20.0,FRONT,MANUAL_TOOL,C3,4,2,5,2,2,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP80-C4,80.0,40.0,-40.0,0,0,20.0,FRONT,UNIT_DEPENDENT,C4,5,4,4,4,2,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP80-C5,80.0,40.0,-40.0,0,0,20.0,FRONT,UNIT_INTERNAL,C5,3,4,3,4,3,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
