part_id,quantity,artifact,method,recommended_material,source_or_datum,envelope_mm,print_orientation,a1_256_fit,load_authority,status,notes
DRIVE_NEUTRAL_PTO_INDICATOR_RIGHT,1,artifacts/print/DRIVE_NEUTRAL_PTO_INDICATOR_RIGHT.stl,3D_PRINT,PETG_OR_PLA_FOR_NO_LOAD_ONLY,V0930_CANDIDATE_A,72.0 x 30.0 x 21.0,AS_EXPORTED_FLAT_BASE_Z0,PASS,NO_LOAD_POSITIONING_ONLY,READY_FOR_PRINT,independent 0/5/10 mm visual marks
BELT_PLANE_GAUGE_LEFT,1,artifacts/print/BELT_PLANE_GAUGE_LEFT.stl,3D_PRINT,PETG_OR_PLA_FOR_NO_LOAD_ONLY,V0930_CANDIDATE_A,120.0 x 40.0 x 14.0,AS_EXPORTED_FLAT_BASE_Z0,PASS,NO_LOAD_POSITIONING_ONLY,READY_FOR_PRINT,left loose-belt coplanarity frame
BELT_PLANE_GAUGE_RIGHT,1,artifacts/print/BELT_PLANE_GAUGE_RIGHT.stl,3D_PRINT,PETG_OR_PLA_FOR_NO_LOAD_ONLY,V0930_CANDIDATE_A,120.0 x 40.0 x 14.0,AS_EXPORTED_FLAT_BASE_Z0,PASS,NO_LOAD_POSITIONING_ONLY,READY_FOR_PRINT,right loose-belt coplanarity frame
TOTAL_WIDTH_290_BOUNDARY_GAUGE,1,artifacts/templates/TOTAL_WIDTH_290_TEMPLATE.svg,TILED_1_TO_1_SVG,PAPER_CARDBOARD_MDF_OR_EXISTING_PART,CURRENT_AUTHORITY_OR_PINNED_REFERENCE,SEE_TEMPLATE_OR_REFERENCE,NOT_APPLICABLE,TILED_OR_REFERENCE,NO_LOAD_POSITIONING_ONLY,READY_FOR_TEMPLATE_OR_REFERENCE,290 mm boundary; split at X=0
LEFT_S2_SERVICE_SWEEP_GAUGE,1,artifacts/templates/MOTOR_SERVICE_SWEEP_TEMPLATE.svg,TILED_1_TO_1_SVG,PAPER_CARDBOARD_MDF_OR_EXISTING_PART,CURRENT_AUTHORITY_OR_PINNED_REFERENCE,SEE_TEMPLATE_OR_REFERENCE,NOT_APPLICABLE,TILED_OR_REFERENCE,NO_LOAD_POSITIONING_ONLY,READY_FOR_TEMPLATE_OR_REFERENCE,temporary service outer X=+158.1; not a fixed-width failure
RIGHT_S2_SERVICE_SWEEP_GAUGE,1,artifacts/templates/MOTOR_SERVICE_SWEEP_TEMPLATE.svg,TILED_1_TO_1_SVG,PAPER_CARDBOARD_MDF_OR_EXISTING_PART,CURRENT_AUTHORITY_OR_PINNED_REFERENCE,SEE_TEMPLATE_OR_REFERENCE,NOT_APPLICABLE,TILED_OR_REFERENCE,NO_LOAD_POSITIONING_ONLY,READY_FOR_TEMPLATE_OR_REFERENCE,temporary service outer X=-158.1; not a fixed-width failure
CBOX_ENVELOPE_DUMMY_OR_TEMPLATE,1,artifacts/templates/CBOX_BBOX_FRAME_TEMPLATE.svg,TILED_1_TO_1_SVG,PAPER_CARDBOARD_MDF_OR_EXISTING_PART,CURRENT_AUTHORITY_OR_PINNED_REFERENCE,SEE_TEMPLATE_OR_REFERENCE,NOT_APPLICABLE,TILED_OR_REFERENCE,NO_LOAD_POSITIONING_ONLY,READY_FOR_TEMPLATE_OR_REFERENCE,130 x 140 x 105 current authority
BBOX_ENVELOPE_DUMMY_OR_TEMPLATE,1,artifacts/templates/CBOX_BBOX_FRAME_TEMPLATE.svg,TILED_1_TO_1_SVG,PAPER_CARDBOARD_MDF_OR_EXISTING_PART,CURRENT_AUTHORITY_OR_PINNED_REFERENCE,SEE_TEMPLATE_OR_REFERENCE,NOT_APPLICABLE,TILED_OR_REFERENCE,NO_LOAD_POSITIONING_ONLY,READY_FOR_TEMPLATE_OR_REFERENCE,150 x 220 x 150 current authority
LEFT_TRACK_PROXY_TEMPLATE,1,artifacts/templates/TRACK_PROXY_TEMPLATE.svg,TILED_1_TO_1_SVG,PAPER_CARDBOARD_MDF_OR_EXISTING_PART,CURRENT_AUTHORITY_OR_PINNED_REFERENCE,SEE_TEMPLATE_OR_REFERENCE,NOT_APPLICABLE,TILED_OR_REFERENCE,NO_LOAD_POSITIONING_ONLY,READY_FOR_TEMPLATE_OR_REFERENCE,inherited v0.9.0 transformed proxy
RIGHT_TRACK_PROXY_TEMPLATE,1,artifacts/templates/TRACK_PROXY_TEMPLATE.svg,TILED_1_TO_1_SVG,PAPER_CARDBOARD_MDF_OR_EXISTING_PART,CURRENT_AUTHORITY_OR_PINNED_REFERENCE,SEE_TEMPLATE_OR_REFERENCE,NOT_APPLICABLE,TILED_OR_REFERENCE,NO_LOAD_POSITIONING_ONLY,READY_FOR_TEMPLATE_OR_REFERENCE,inherited v0.9.0 transformed proxy
20T_PULLEY_ENVELOPE_DUMMY_LEFT_RIGHT,2,REFERENCE_ONLY,REUSE_EXISTING_STANDARD_DUMMY,PAPER_CARDBOARD_MDF_OR_EXISTING_PART,CURRENT_AUTHORITY_OR_PINNED_REFERENCE,SEE_TEMPLATE_OR_REFERENCE,NOT_APPLICABLE,TILED_OR_REFERENCE,NO_LOAD_POSITIONING_ONLY,READY_FOR_TEMPLATE_OR_REFERENCE,a3e22cba3cd02e246fb9f1a8a58a9a10a0a12f8e5ddbec1e8397da01af9d944b
60T_PULLEY_ENVELOPE_DUMMY_LEFT_RIGHT,2,REFERENCE_ONLY,REUSE_EXISTING_STANDARD_DUMMY,PAPER_CARDBOARD_MDF_OR_EXISTING_PART,CURRENT_AUTHORITY_OR_PINNED_REFERENCE,SEE_TEMPLATE_OR_REFERENCE,NOT_APPLICABLE,TILED_OR_REFERENCE,NO_LOAD_POSITIONING_ONLY,READY_FOR_TEMPLATE_OR_REFERENCE,2577b0cd8575a961e527c47e304036a4072245ef051f91c5eccf3e1adbac42f7
DRIVE_OUTPUT_CENTERLINE_JIG_LEFT_RIGHT,2,artifacts/assemblies/CANDIDATE_A_DRIVE_STATE.step,ASSEMBLY_ENVELOPE,PAPER_CARDBOARD_MDF_OR_EXISTING_PART,CURRENT_AUTHORITY_OR_PINNED_REFERENCE,SEE_TEMPLATE_OR_REFERENCE,NOT_APPLICABLE,TILED_OR_REFERENCE,NO_LOAD_POSITIONING_ONLY,READY_FOR_TEMPLATE_OR_REFERENCE,"X=±66,Y=-185,Z=166"
PTO_OUTPUT_CENTERLINE_JIG_LEFT_RIGHT,2,artifacts/assemblies/CANDIDATE_A_PTO_STATE.step,ASSEMBLY_ENVELOPE,PAPER_CARDBOARD_MDF_OR_EXISTING_PART,CURRENT_AUTHORITY_OR_PINNED_REFERENCE,SEE_TEMPLATE_OR_REFERENCE,NOT_APPLICABLE,TILED_OR_REFERENCE,NO_LOAD_POSITIONING_ONLY,READY_FOR_TEMPLATE_OR_REFERENCE,independent inward X axes; no common shaft
CENTRAL_UNIT_BAY_TEMPLATE,1,artifacts/templates/UNIT_BAY_TEMPLATE.svg,TILED_1_TO_1_SVG,PAPER_CARDBOARD_MDF_OR_EXISTING_PART,CURRENT_AUTHORITY_OR_PINNED_REFERENCE,SEE_TEMPLATE_OR_REFERENCE,NOT_APPLICABLE,TILED_OR_REFERENCE,NO_LOAD_POSITIONING_ONLY,READY_FOR_TEMPLATE_OR_REFERENCE,"unit weight supported by frame, not PTO"
CABLE_BEND_ENVELOPE_LEFT_RIGHT,2,artifacts/templates/CABLE_BEND_TEMPLATE.svg,SVG_TEMPLATE,PAPER_CARDBOARD_MDF_OR_EXISTING_PART,CURRENT_AUTHORITY_OR_PINNED_REFERENCE,SEE_TEMPLATE_OR_REFERENCE,NOT_APPLICABLE,TILED_OR_REFERENCE,NO_LOAD_POSITIONING_ONLY,READY_FOR_TEMPLATE_OR_REFERENCE,actual connector/bend radius HOLD
FRAME_DATUM_CORNER_GAUGES,4,artifacts/templates/CBOX_BBOX_FRAME_TEMPLATE.svg,SVG_OR_EXISTING_TSLOT,PAPER_CARDBOARD_MDF_OR_EXISTING_PART,CURRENT_AUTHORITY_OR_PINNED_REFERENCE,SEE_TEMPLATE_OR_REFERENCE,NOT_APPLICABLE,TILED_OR_REFERENCE,NO_LOAD_POSITIONING_ONLY,READY_FOR_TEMPLATE_OR_REFERENCE,20x20 class authority; 2040 HOLD
