candidate,height_case,joint_or_frame,target,collision_class,intersection_volume_mm3,fixed_clearance_mm,service_collision,measurement_hold,status
B_TIE_PLATE,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,metal_bracket,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,NO,PASS
B_TIE_PLATE,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,8hole_plate,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,NO,PASS
B_TIE_PLATE,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,M3_fastener,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,YES,PASS
B_TIE_PLATE,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,M5_fastener,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,YES,PASS
B_TIE_PLATE,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,spacer_nut,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,YES,PASS
B_TIE_PLATE,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,20T_pulley,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,NO,PASS
B_TIE_PLATE,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,60T_pulley,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,NO,PASS
B_TIE_PLATE,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,belt,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,NO,PASS
B_TIE_PLATE,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,selector,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,NO,PASS
B_TIE_PLATE,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,PTO,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,NO,PASS
B_TIE_PLATE,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,fixed_guard,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,YES,PASS
A_END_TAP,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,CROSSMEMBERS,service_sweep,SERVICE,0.000000,SEPARATE,NO_AT_TARGET;10MM_PROXY_CLEARANCE,YES,CONDITIONAL_PASS
B_TIE_PLATE,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,CROSSMEMBERS,service_sweep,SERVICE,0.000000,SEPARATE,NO_AT_TARGET;10MM_PROXY_CLEARANCE,YES,CONDITIONAL_PASS
B_TIE_PLATE,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,TIE_PLATE,CBOX,ACTUAL_PROXY_COMMON_VOLUME,0.000000,TOUCH_AT_Z0_IS_ZERO_VOLUME,NOT_APPLICABLE,YES,PASS
B_TIE_PLATE,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,TIE_PLATE,BBOX,ACTUAL_PROXY_COMMON_VOLUME,0.000000,TOUCH_AT_Z0_IS_ZERO_VOLUME,NOT_APPLICABLE,YES,PASS
B_TIE_PLATE,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,TIE_PLATE,TRACK,ACTUAL_PROXY_COMMON_VOLUME,0.000000,37.0,NOT_APPLICABLE,YES,PASS
A_END_TAP,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,OUTBOARD_BOLT_HEAD,ROVER_WIDTH_BOUNDARY_X_±145,FIXED_ENVELOPE,0.000000,49.0,NO,YES,CONDITIONAL_PASS
A_END_TAP,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,OUTBOARD_TOOL,TRACK_PROXY,SERVICE,0.000000,SEPARATE,NO_PROXY;19MM_TO_TRACK_INNER_FACE,YES,CONDITIONAL_PASS
A_END_TAP,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,OUTBOARD_TOOL,FIXED_GUARD,SERVICE,0.000000,SEPARATE,NO_PROXY,YES,CONDITIONAL_PASS
BASELINE_INNER_CORNER,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,INNER_BRACKET,POWERTRAIN_CLEAR_WIDTH,WIDTH_REDUCTION,NOT_APPLICABLE,44.2_REMAINING,CENTRAL_CORRIDOR_RESTRICTED,YES,REJECT_CANDIDATE_IN_POWERTRAIN_ZONE
